iter	Passed	Remaining
863	5791	911
864	5795	904
865	5799	897
866	5809	891
867	5813	884
868	5819	877
869	5823	870
870	5828	863
871	5835	856
872	5840	849
873	5845	842
874	5854	836
875	5860	829
876	5867	822
877	5871	815
878	5875	808
879	5882	802
880	5886	795
881	5890	788
882	5895	781
883	5900	774
884	5903	767
885	5908	760
886	5914	753
887	5919	746
888	5923	739
889	5929	732
890	5933	725
891	5937	718
892	5948	712
893	5953	705
894	5961	699
895	5965	692
896	5973	685
897	5978	679
898	5984	672
899	5993	665
900	5997	658
901	6001	652
902	6007	645
903	6012	638
904	6019	631
905	6024	625
906	6027	618
907	6035	611
908	6042	604
909	6049	598
910	6053	591
911	6057	584
912	6064	577
913	6068	570
914	6072	564
915	6076	557
916	6082	550
917	6086	543
918	6089	536
919	6096	530
920	6100	523
921	6104	516
922	6110	509
923	6114	502
924	6118	496
925	6123	489
926	6128	482
927	6135	476
928	6140	469
929	6145	462
930	6152	456
931	6156	449
932	6164	442
933	6173	436
934	6183	429
935	6188	423
936	6192	416
937	6200	409
938	6204	403
939	6208	396
940	6213	389
941	6219	382
942	6224	376
943	6230	369
944	6240	363
945	6247	356
946	6261	350
947	6269	343
948	6275	337
949	6279	330
950	6287	323
951	6292	317
952	6296	310
953	6308	304
954	6312	297
955	6322	290
956	6326	284
957	6334	277
958	6338	271
959	6342	264
960	6350	257
961	6354	251
962	6358	244
963	6365	237
964	6369	231
965	6373	224
966	6379	217
967	6383	211
968	6387	204
969	6392	197
970	6396	191
971	6403	184
972	6410	177
973	6414	171
974	6418	164
975	6424	157
976	6429	151
977	6433	144
978	6441	138
979	6444	131
980	6448	124
981	6457	118
982	6462	111
983	6465	105
984	6473	98
985	6477	91
986	6484	85
987	6488	78
988	6505	72
989	6510	65
990	6519	59
991	6527	52
992	6535	46
993	6540	39
994	6544	32
995	6552	26
996	6556	19
997	6560	13
998	6566	6
999	6571	0
